ano,dia,n_questao,texto
2009,2,Questão 165,"Doze times se inscreveram em um torneio de 
futebol amador. O jogo de abertura do torneio foi escolhido 
da seguinte forma: primeiro foram sorteados 4 times para 
compor o Grupo A. Em seguida, entre os times do Grupo 
A, foram sorteados 2 times para realizar o jogo de abertura 
do torneio, sendo que o primeiro deles jogaria em seu 
próprio campo, e o segundo seria o time visitante. 
 
A quantidade total de escolhas possíveis para o Grupo A e 
a quantidade total de escolhas dos times do jogo de 
abertura podem ser calculadas através de 
A uma combinação e um arranjo, respectivamente. 
B um arranjo e uma combinação, respectivamente. 
C um arranjo e uma permutação, respectivamente. 
D duas combinações. 
E dois arranjos."
2014,1,QUESTÃO 46,"Christiaan Huygens, em 1656, criou o relógio de 
pêndulo. Nesse dispositivo, a pontualidade baseia-se na 
regularidade das pequenas oscilações do pêndulo. Para 
manter a precisão desse relógio, diversos problemas foram 
contornados. Por exemplo, a haste passou por ajustes até 
que, no início do século XX, houve uma inovação, que foi 
sua fabricação usando uma liga metálica que se comporta 
regularmente em um largo intervalo de temperaturas.
YODER, J. G. Unrolling Time: Christiaan Huygens and the mathematization of nature. 
Cambridge: Cambridge University Press, 2004 (adaptado).
Desprezando a presença de forças dissipativas e 
considerando a aceleração da gravidade constante, para 
que esse tipo de relógio realize corretamente a contagem 
do tempo, é necessário que o(a)
A comprimento da haste seja mantido constante.
B massa do corpo suspenso pela haste seja pequena. 
C material da haste possua alta condutividade térmica.
D amplitude da oscilação seja constante a qualquer 
temperatura.
E energia potencial gravitacional do corpo suspenso se 
mantenha constante."
2014,2,QUESTÃO 91,"Disponível em: http://wefeedback.org. Acesso em: 30 jul. 2012.
A internet tem servido a diferentes interesses, ampliando, muitas vezes, o contato entre pessoas e instituições. Um 
exemplo disso é o site WeFeedback, no qual a internauta Kate Watts
A comprou comida em promoção.
B inscreveu-se em concurso.
C fez doação para caridade. 
D participou de pesquisa de opinião.
E voluntariou-se para trabalho social."
2017,1,QUESTÃO 26,"Apesar de muitas crianças e adolescentes terem a 
Barbie como um exemplo de beleza, um infográfico feito 
pelo site Rehabs.com comprovou que, caso uma mulher 
tivesse as medidas da boneca de plástico, ela nem 
estaria viva.
Não é exatamente uma novidade que as proporções 
da boneca mais famosa do mundo são absurdas para o 
mundo real. Ativistas que lutam pela construção de uma 
autoimagem mais saudável, pesquisadores de distúrbios 
alimentares e pessoas que se preocupam com o impacto 
da indústria cultural na psique humana apontam, há anos, 
a influência de modelos como a Barbie na distorção do 
corpo feminino.
Pescoço
Com um pescoço duas vezes mais longo e 
15 centímetros mais fino do que o de uma mulher, 
a Barbie seria incapaz de manter sua cabeça levantada.
Cintura
Com uma cintura de 40 centímetros (menor do que 
a sua cabeça), a Barbie da vida real só teria espaço em 
seu corpo para acomodar metade de um rim e alguns 
centímetros de intestino.
Quadril
O índice que mede a relação entre a cintura e o 
quadril da Barbie é de 0,56, o que significa que a medida 
da sua cintura representa 56% da circunferência de seu 
quadril. Esse mesmo índice, em uma mulher americana 
média, é de 0,8.
Disponível em: http://oglobo.globo.com. Acesso em: 2 maio 2015.
Ao abordar as possíveis influências da indústria de 
brinquedos sobre a representação do corpo feminino, o 
texto analisa a
A noção de beleza globalizada veiculada pela 
indústria cultural.
B  influência da mídia para a adoção de um estilo de vida 
salutar pelas mulheres.
C  relação entre a alimentação saudável e o padrão de 
corpo instituído pela boneca.
D  proporcionalidade entre a representação do corpo da 
boneca e a do corpo humano.
E  influência mercadológica na construção de uma 
autoimagem positiva do corpo feminino."
2019,1,Questão 53,"Brasil, Alemanha, Japão e Índia pedem reforma  
do Conselho de Segurança
Os representantes do G4 (Brasil, Alemanha, Índia e 
Japão) reiteraram, em setembro de 2018, a defesa pela 
ampliação do Conselho de Segurança da Organização 
das Nações Unidas (ONU) durante reunião em 
Nova York (Estados Unidos). Em declaração conjunta, 
de dez itens, os chanceleres destacaram que o 
órgão, no formato em que está, com apenas cinco 
membros permanentes e dez rotativos, não reflete 
o século 21. “A reforma do Conselho de Segurança é 
essencial para enfrentar os desafios complexos de 
hoje. Como aspirantes a novos membros permanentes 
de um conselho reformado, os ministros reiteraram 
seu compromisso de trabalhar para fortalecer o 
funcionamento da ONU e da ordem multilateral global, 
bem como seu apoio às respectivas candidaturas”, 
afirma a declaração conjunta.
Disponível em: http://agenciabrasil.ebc.com.br. 
Acesso em: 7 dez. 2018 (adaptado).
Os países mencionados no texto justificam sua 
pretensão com base na seguinte característica comum:
A Extensividade de área territorial.
B Protagonismo em escala regional.
C Investimento em tecnologia militar.
D Desenvolvimento de energia nuclear.
E Disponibilidade de recursos minerais.
*SA0175AZ22*"
2018,1,QUESTÃO 38,"nodosa que me pintou as costas de manchas sangrentas. 
– e houve uma discussão na família. Minha avó, que 
guardei ódio a minha mãe: o culpado era o nó.
RAMOS, G. Infância
Num texto narrativo, a sequência dos fatos contribui para 
a progressão temática. No fragmento, esse processo é 
indicado pela
A alternância das pessoas do discurso que determinam 
o foco narrativo.
B utilização de formas verbais que marcam tempos 
narrativos variados.
C indeterminação dos sujeitos de ações que caracterizam 
os eventos narrados.
D justaposição de frases que relacionam semanticamente 
os acontecimentos narrados.
E recorrência de expressões adverbiais que organizam 
temporalmente a narrativa."
2009,2,Questão 154,"A rampa de um hospital tem na sua parte mais 
elevada uma altura de 2,2 metros. Um paciente ao 
caminhar sobre a rampa percebe que se deslocou 3,2 
metros e alcançou uma altura de 0,8 metro. 
 
A distância em metros que o paciente ainda deve caminhar 
para atingir o ponto mais alto da rampa é 
A 1,16 metros. D 5,6 metros. 
B 3,0 metros. E 7,04 metros. 
C 5,4 metros."
2016,1,QUESTÃO 14,"A regulação das relações de trabalho compõe uma 
estrutura complexa, em que cada elemento se ajusta aos 
demais. A Justiça do Trabalho é apenas uma das peças 
dessa vasta engrenagem. A presença de representantes 
classistas na composição dos órgãos da Justiça do 
Trabalho é também resultante da montagem dessa 
característica. Instituída pela Constituição de 1934, a 
Justiça do Trabalho só vicejou no ambiente político do 
Estado Novo instaurado em 1937.
ROMITA, A. S. Justiça do Trabalho: produto do Estado Novo. In: PANDOLFI, D. (Org.). 
Repensando o Estado Novo. Rio de Janeiro: Editora FGV, 1999.
A criação da referida instituição estatal na conjuntura 
histórica abordada teve por objetivo 
A legitimar os protestos fabris. 
B
C
D assegurar os princípios liberais.
E

*AZUL75SAB6*"
2013,1,QUESTÃO 54,"O uso de embalagens plásticas descartáveis 
vem crescendo em todo o mundo, juntamente com 
o problema ambiental gerado por seu descarte 
inapropriado. O politereftalato de etileno (PET), 
cuja estrutura é mostrada, tem sido muito utilizado 
na indústria de refrigerantes e pode ser reciclado 
e reutilizado. Uma das opções possíveis envolve a 
produção de matérias-primas, como o etilenoglicol 
(1,2-etanodiol), a partir de objetos compostos de PET 
pós-consumo.
HO C C O CH2 CH2 O H
n
O O
Disponível em: www.abipet.org.br. Acesso em: 27 fev. 2012 (adaptado).
Com base nas informações do texto, uma alternativa para 
a obtenção de etilenoglicol a partir do PET é a
A solubilização dos objetos.
B combustão dos objetos.
C trituração dos objetos.
D hidrólise dos objetos.
E fusão dos objetos.
*AZUL75SAB17*

2013"
2016,2,QUESTÃO 160,"Uma liga metálica sai do forno a uma temperatura de 
Use 0,477 como aproximação para log10(3) e 1,041 
como aproximação para log10(11).
O tempo decorrido, em hora, até que a liga atinja 30 °C é 
mais próximo de
A 22.
B 50.
C 100.
D 200.
E 400."
