ano,dia,n_questao,texto
2017,1,QUESTÃO 63,"E venham, então, os alegres incendiários de dedos 
carbonizados! Vamos! Ateiem fogo às estantes das 
bibliotecas! Desviem o curso dos canais, para inundar 
os museus! Empunhem as picaretas, os machados, 
os martelos e deitem abaixo sem piedade as cidades 
veneradas!
MARINETTI, F. T. Manifesto futurista. Disponível em: www.sibila.com.br. 
Acesso em: 2 ago. 2012 (adaptado).
Que princípio marcante do Futurismo e comum a várias 
correntes artísticas e culturais das primeiras três décadas 
do século XX está destacado no texto?
A  A tradição é uma força incontornável.
B  A arte é expressão da memória coletiva.
C  A modernidade é a superação decisiva da história.
D  A realidade cultural é determinada economicamente.
E A memória é um elemento crucial da identidade cultural."
2015,2,QUESTÃO 126,"No ano de 1985 aconteceu um acidente muito grave 
em Angra dos Reis, no Rio de Janeiro, perto da aldeia 
guarani de Sapukai. Choveu muito e as águas pluviais 
provocaram deslizamentos de terras das encostas da 
Serra do Mar, destruindo o Laboratório de Radioecologia 
da Central Nuclear Almirante Álvaro Alberto, construída 
em 1970 num lugar que os índios tupinambás, há mais de 
500 anos, chamavam de Itaorna. O prejuízo foi calculado 
na época em 8 bilhões de cruzeiros. Os engenheiros 
responsáveis pela construção da usina nuclear não 
sabiam que o nome dado pelos índios continha informação 
sobre a estrutura do solo, minado pelas águas da chuva. 
Só descobriram que Itaorna, em língua tupinambá, quer 
FREIRE, J. R. B. Disponível em: www.taquiprati.com.br. Acesso em: 1 ago. 2012 (adaptado).
Considerando-se a história da ocupação na região de 
Angra dos Reis mencionada no texto, os fenômenos 
naturais que a atingiram poderiam ter sido previstos e 
suas consequências minimizadas se 
A o acervo linguístico indígena fosse conhecido e 
valorizado.
B as línguas indígenas brasileiras tivessem sido 
substituídas pela língua geral.
C o conhecimento acadêmico tivesse sido priorizado 
pelos engenheiros.
D a língua tupinambá tivesse palavras adequadas para 
descrever o solo.
E o laboratório tivesse sido construído de acordo com 
as leis ambientais vigentes na época."
2017,2,QUESTÃO 152,"A água para o abastecimento de um prédio é armazenada em um sistema formado por dois reservatórios idênticos, 
em formato de bloco retangular, ligados entre si por um cano igual ao cano de entrada, conforme ilustra a figura.
Reservatório 1 Reservatório 2
Cano de
entrada
A água entra no sistema pelo cano de entrada no Reservatório 1 a uma vazão constante e, ao atingir o nível do 
cano de ligação, passa a abastecer o Reservatório 2. Suponha que, inicialmente, os dois reservatórios estejam vazios.
Qual dos gráficos melhor descreverá a altura h do nível da água no Reservatório 1, em função do volume V de água 
no sistema?
A
h
v
D
h
v
B
h
v
E
h
v
C
h
v
*DO0725AZ21*"
2017,2,QUESTÃO 179,"Um morador de uma região metropolitana tem 50% 
de probabilidade de atrasar-se para o trabalho quando 
chove na região; caso não chova, sua probabilidade de 
atraso é de 25%. Para um determinado dia, o serviço 
de meteorologia estima em 30% a probabilidade da 
ocorrência de chuva nessa região.
Qual é a probabilidade de esse morador se atrasar para o 
serviço no dia para o qual foi dada a estimativa de chuva?
A 0,075
B 0,150
C 0,325
D 0,600
E 0,800"
2018,1,QUESTÃO 21,"Ó Pátria amada,
Idolatrada,
Salve! Salve!
Brasil, de amor eterno seja símbolo
O lábaro que ostentas estrelado,
— “Paz no futuro e glória no passado.”
Mas, se ergues da justiça a clava forte,
Nem teme, quem te adora, a própria morte.
Terra adorada,
Entre outras mil,
És tu, Brasil,
Ó Pátria amada!
Pátria amada, Brasil!
Hino Nacional do Brasil. Letra: Joaquim Osório Duque Estrada. 
Música: Francisco Manuel da Silva (fragmento).
Hino Nacional do 
Brasil
A reverência de um povo a seu país.
B gênero solene de característica protocolar.
C canção concebida sem interferência da oralidade.
D escrita de uma fase mais antiga da língua portuguesa.
E artefato cultural respeitado por todo o povo brasileiro."
2019,2,Questão 149,"O slogan “Se beber não dirija”, muito utilizado em 
campanhas publicitárias no Brasil, chama a atenção 
para o grave problema da ingestão de bebida alcoólica 
por motoristas e suas consequências para o trânsito. 
A gravidade desse problema pode ser percebida 
observando como o assunto é tratado pelo Código de 
Trânsito Brasileiro. Em 2013, a quantidade máxima 
de álcool permitida no sangue do condutor de um 
veículo, que já era pequena, foi reduzida, e o valor 
da multa para motoristas alcoolizados foi aumentado. 
Em consequência dessas mudanças, observou-se 
queda no número de acidentes registrados em uma 
suposta rodovia nos anos que se seguiram às mudanças 
implantadas em 2013, conforme dados no quadro.
Ano 2013 2014 2015 
Número total 
de acidentes 
1 050 900 850 
Suponha que a tendência de redução no número de 
acidentes nessa rodovia para os anos subsequentes seja 
igual à redução absoluta observada de 2014 para 2015.
Com base na situação apresentada, o número de 
acidentes esperados nessa rodovia em 2018 foi de
A 150.
B 450.
C 550.
D 700.
E 800."
2016,1,QUESTÃO 71,"A vegetação apresenta adaptações ao ambiente, 
como plantas arbóreas e arbustivas com raízes que se 
expandem horizontalmente, permitindo forte ancoragem 
no substrato lamacento; raízes que se expandem 
verticalmente, por causa da baixa oxigenação do 
substrato; folhas que têm glândulas para eliminar o 
excesso de sais; folhas que podem apresentar cutícula 
espessa para reduzir a perda de água por evaporação.
As características descritas referem-se a plantas 
adaptadas ao bioma:
A Cerrado.
B Pampas.
C Pantanal.
D Manguezal.
E Mata de Cocais."
2018,2,QUESTÃO 124,"O petróleo é uma fonte de energia de baixo custo 
grande variedade de produtos. É um óleo formado 
de várias substâncias de origem orgânica, em sua 
maioria hidrocarbonetos de diferentes massas molares. 
dos componentes comercializáveis do petróleo. 
Além disso, para aumentar a quantidade de frações 
comercializáveis, otimizando o produto de origem fóssil, 
O que ocorre nesse processo?
A
moléculas menores.
B
elétrons entre as moléculas.
C
de diferentes solventes.
D
molares pelo uso de centrífugas.
E
em fun temp
*DO0725AZ11*"
2018,2,QUESTÃO 173,"no solo.
Cabo de aço
Viga
M
M
O
Estágio 1
O
Estágio 2
M
O
Estágio 3
na vertical durante todo o movimento de içamento da viga, que se inicia no tempo t 
tempo tf
representa a viga.
 0 e tf, é
A
Distância
Tempot f0
D
Distância
Tempo0 t f
B
Distância
Tempo0 t f
E
Distância
Tempo0 t f
C
Distância
Tempo0 t f
*DO0725AZ29*"
2019,2,Questão 152,"Para contratar três máquinas que farão o reparo de 
vias rurais de um município, a prefeitura elaborou um 
edital que, entre outras cláusulas, previa:
• Cada empresa interessada só pode cadastrar uma 
única máquina para concorrer ao edital; 
• O total de recursos destinados para contratar o 
conjunto das três máquinas é de R$ 31 000,00; 
• O valor a ser pago a cada empresa será 
inversamente proporcional à idade de uso 
da máquina cadastrada pela empresa para o 
presente edital.
As três empresas vencedoras do edital cadastraram 
máquinas com 2, 3 e 5 anos de idade de uso.
Quanto receberá a empresa que cadastrou a máquina 
com maior idade de uso?
A R$ 3 100,00
B R$ 6 000,00
C R$ 6 200,00
D R$ 15 000,00
E R$ 15 500,00"
